date,hr,mm,percent,cloudy
1965-04-07,0.0,0.0,68.3,1.5
1965-04-08,1.22,0.0,74.5,7.5
1965-04-09,3.5,0.0,87.0,7.3
1965-04-10,0.0,0.0,42.0,0.8
1965-04-11,0.0,0.0,56.0,0.0
1965-04-12,0.0,0.0,68.8,6.5
1965-04-13,0.0,0.0,72.5,5.3
1965-04-14,0.0,0.0,82.5,5.3
1965-04-15,0.0,0.0,65.3,0.5
1965-04-16,0.0,0.0,65.0,7.0
1965-04-17,0.0,0.0,63.3,6.5
1965-04-18,0.0,0.0,54.0,3.8
1965-04-19,5.43,0.8,81.5,8.5
1965-04-20,0.0,0.0,74.8,7.0
1965-04-21,0.0,0.0,58.0,0.8
1965-04-22,6.02,2.5,63.5,9.5
1965-04-23,8.7,6.8,80.8,6.0
1965-04-24,0.0,0.0,62.8,1.3
1965-04-25,0.0,0.0,62.0,7.0
1965-04-26,2.67,2.1,62.3,4.3
1965-04-27,0.0,0.0,49.3,7.5
1965-04-28,14.08,8.5,84.5,10.0
1965-04-29,13.98,1.9,85.3,10.0
1965-04-30,0.0,0.0,81.5,2.8
1965-05-01,0.0,0.0,82.3,5.8
1965-05-02,12.67,1.7,88.5,10.0
1965-05-03,1.25,0.2,79.8,8.5
1965-05-04,0.0,0.0,74.3,3.8
1965-05-05,5.18,1.6,86.5,10.0
1965-05-06,2.33,0.3,81.0,8.5
1965-05-07,0.0,0.0,77.5,2.8
1965-05-08,0.0,0.0,75.3,3.8
1965-05-09,0.92,4.2,84.8,8.8
1965-05-10,0.0,0.0,67.0,0.0
1965-05-11,0.0,0.0,61.3,2.3
1965-05-12,0.0,0.0,55.3,1.0
1965-05-13,0.0,0.0,73.5,8.8
1965-05-14,0.0,0.0,76.3,7.8
1965-05-15,0.0,0.0,84.0,10.0
1965-05-16,1.53,0.8,85.3,4.3
1965-05-17,0.0,0.0,65.3,3.0
1965-05-18,0.38,0.0,62.8,2.5
1965-05-19,0.0,0.0,68.8,6.0
1965-05-20,1.8,6.5,76.0,9.0
1965-05-21,0.0,0.0,66.5,0.8
1965-05-22,0.0,0.0,65.5,1.0
1965-05-23,0.0,0.0,56.8,1.5
1965-05-24,4.83,2.3,88.5,10.0
1965-05-25,2.78,1.2,84.8,10.0
1965-05-26,0.43,0.1,76.3,10.0
1965-05-27,7.15,0.3,65.5,10.0
1965-05-28,0.0,0.0,66.3,8.3
1965-05-29,0.0,0.0,68.5,3.5
1965-05-30,0.0,0.0,54.3,1.3
1965-05-31,0.0,0.0,75.8,1.3
1965-06-01,0.0,0.0,73.8,3.0
1965-06-02,0.0,0.0,76.0,6.8
1965-06-03,3.23,0.4,81.0,10.0
1965-06-04,0.0,0.0,74.3,3.3
1965-06-05,0.17,0.0,74.5,1.0
1965-06-06,0.22,0.1,71.5,5.3
1965-06-07,0.0,0.0,59.5,0.0
1965-06-08,0.0,0.0,60.5,2.3
1965-06-09,0.0,0.0,62.8,6.5
1965-06-10,0.0,0.0,55.5,9.3
1965-06-11,0.0,0.0,55.5,8.5
1965-06-12,0.0,0.0,57.5,8.3
1965-06-13,0.0,0.0,60.5,7.5
1965-06-14,0.1,0.0,63.5,5.5
1965-06-15,0.0,0.0,59.3,8.5
1965-06-16,9.08,48.2,82.5,9.5
1965-06-17,0.0,0.0,81.5,5.8
1965-06-18,0.0,0.0,80.8,5.8
1965-06-19,0.0,0.0,80.8,9.8
1965-06-20,0.0,0.0,79.8,7.3
1965-06-21,0.0,0.0,80.5,2.8
1965-06-22,0.0,0.0,82.0,4.8
1965-06-23,0.0,0.0,79.3,5.0
1965-06-24,0.0,0.0,81.0,3.3
1965-06-25,0.0,0.0,71.3,5.5
1965-06-26,0.0,0.0,71.0,7.8
1965-06-27,0.0,0.0,65.3,0.5
1965-06-28,0.0,0.0,80.5,3.0
1965-06-29,0.85,0.0,74.5,6.5
1965-06-30,1.05,0.0,78.3,9.5
1965-07-01,4.22,0.1,70.8,6.3
1965-07-02,0.12,0.0,64.3,8.5
1965-07-03,0.0,0.0,68.3,6.0
1965-07-04,13.33,30.9,91.0,10.0
1965-07-05,0.98,0.0,82.5,7.0
1965-07-06,0.0,0.0,81.8,9.3
1965-07-07,3.4,3.0,79.0,8.5
1965-07-08,0.35,0.2,83.5,6.0
1965-07-09,16.9,39.3,91.5,10.0
1965-07-10,15.82,44.7,95.0,10.0
1965-07-11,18.4,29.2,95.8,10.0
1965-07-12,0.42,0.0,88.0,8.5
1965-07-13,7.33,18.2,88.5,10.0
1965-07-14,15.32,24.1,91.3,10.0
1965-07-15,9.97,6.3,90.8,10.0
1965-07-16,14.05,160.0,88.8,10.0
1965-07-17,9.25,6.2,93.0,10.0
1965-07-18,0.0,0.0,84.8,5.0
1965-07-19,1.88,1.2,88.0,8.3
1965-07-20,18.38,105.7,96.0,10.0
1965-07-21,11.28,24.3,90.5,9.8
1965-07-22,9.33,10.8,81.3,10.0
1965-07-23,0.0,0.0,71.5,7.0
1965-07-24,0.0,0.0,77.8,5.0
1965-07-25,0.0,0.0,79.3,4.0
1965-07-26,7.52,39.7,88.8,9.5
1965-07-27,0.57,0.2,84.8,10.0
1965-07-28,0.82,0.5,82.3,9.5
1965-07-29,15.33,9.6,85.8,9.8
1965-07-30,0.97,1.0,89.5,9.8
1965-07-31,0.0,0.0,87.0,5.8
1965-08-01,0.0,0.0,83.5,4.3
1965-08-02,0.3,0.0,81.8,4.3
1965-08-03,16.85,157.0,92.3,10.0
1965-08-04,13.87,135.4,91.3,10.0
1965-08-05,3.0,9.0,85.5,8.5
1965-08-06,5.7,7.0,87.8,10.0
1965-08-07,2.83,4.6,79.3,6.5
1965-08-08,0.15,0.0,83.0,6.0
1965-08-09,0.0,0.0,81.5,4.5
1965-08-10,7.87,22.9,88.8,10.0
1965-08-11,9.3,1.0,91.3,10.0
1965-08-12,0.2,0.0,85.8,7.0
1965-08-13,0.0,0.0,82.8,4.5
1965-08-14,4.72,6.3,89.8,9.5
1965-08-15,0.0,0.0,84.8,5.3
1965-08-16,0.0,0.0,85.5,8.3
1965-08-17,2.65,2.0,87.0,7.5
1965-08-18,0.67,8.8,87.0,6.8
1965-08-19,0.33,0.3,85.0,6.5
1965-08-20,0.28,0.0,86.3,10.0
1965-08-21,0.08,0.0,87.0,10.0
1965-08-22,0.47,0.3,78.3,7.5
1965-08-23,4.85,4.2,80.0,7.0
1965-08-24,9.12,6.3,93.3,8.3
1965-08-25,0.0,0.0,87.8,5.8
1965-08-26,0.0,0.0,84.8,5.5
1965-08-27,0.0,0.0,82.0,0.0
